FID,cod_aldeia,nome_aldeia,cod_ti,cod_municipio,data_cadastro,flag_ativo,nome_cr,the_geom,nommunic,nomuf,undadm_codigo,coord_lat,coord_long
aldeias_pontos.fid-8091ffc_197eb49b98a_2ee7,1626,11 DE SETEMBRO,33801,5107065,19/04/2018,A,COORDENACAO REGIONAL DO XINGU,POINT (-53.2047777778 -11.3278444444),Querência,Mato Grosso,30202002060,-11.32784444,-53.20477778
aldeias_pontos.fid-8091ffc_197eb49b98a_2ee8,61,12 de Outubro,17301,5101902,,A,COORDENACAO REGIONAL NOROESTE DO MATO GROSSO,POINT (-57.933888888889 -12.801388888889),Brasnorte,Mato Grosso,30202002032,-12.80138889,-57.93388889
aldeias_pontos.fid-8091ffc_197eb49b98a_2ee9,60,13 de Maio,17301,5101902,,A,COORDENACAO REGIONAL NOROESTE DO MATO GROSSO,POINT (-57.901388888889 -12.800277777778),Brasnorte,Mato Grosso,30202002032,-12.80027778,-57.90138889
aldeias_pontos.fid-8091ffc_197eb49b98a_2eea,2346,14 de Abril (Central),40701,1100098,13/07/2018,A,COORDENACAO REGIONAL DE CACOAL,POINT (-60.6708888889 -11.3573888889),Espigão D´Oeste,Rondônia,30202001934,-11.35738889,-60.67088889
aldeias_pontos.fid-8091ffc_197eb49b98a_2eeb,3084,18 Praias,15701,1200609,05/09/2018,A,COORDENACAO REGIONAL DO JURUÁ,POINT (-70.7596055556 -8.23643611111),Tarauacá,Acre,30202001852,-8.23643611,-70.75960556
aldeias_pontos.fid-8091ffc_197eb49b98a_2eec,3237,21 (Vinte e Um),20501,1200302,13/09/2018,A,COORDENACAO REGIONAL DO JURUÁ,POINT (-71.5234611111 -9.66817222222),Feijó,Acre,30202001852,-9.66817222,-71.52346111
aldeias_pontos.fid-8091ffc_197eb49b98a_2eed,4844,3 Cachoeiras,7301,1200054,04/04/2022,A,COORDENACAO REGIONAL ALTO PURUS,POINT (-69.8894083333 -10.9207333333),Assis Brasil,Acre,30202001845,-10.92073333,-69.88940833
aldeias_pontos.fid-8091ffc_197eb49b98a_2eee,3337,7 de Setembro,56601,1200336,17/09/2018,A,COORDENACAO REGIONAL DO JURUÁ,POINT (-73.5028888889 -7.46280555556),Mâncio Lima,Acre,30202001852,-7.46280556,-73.50288889
aldeias_pontos.fid-8091ffc_197eb49b98a_2eef,3980,72 COATI ( EDIMILSON ),40701,1100098,14/10/2019,A,COORDENACAO REGIONAL DE CACOAL,POINT (-60.5794166667 -11.5053333333),Espigão D´Oeste,Rondônia,30202001934,-11.50533333,-60.57941667
aldeias_pontos.fid-8091ffc_197eb49b98a_2ef0,3886,8ª Linha,16101,1100106,15/04/2019,A,COORDENACAO REGIONAL DE GUAJARA MIRIM,POINT (-65.208 -10.6284166667),Guajará-Mirim,Rondônia,30202001941,-10.62841667,-65.208
aldeias_pontos.fid-8091ffc_197eb49b98a_2ef1,2167,9 DE JULHO,37901,1400407,07/06/2018,A,COORDENACAO REGIONAL DE RORAIMA,POINT (-60.1014277778 3.50921388889),Normandia,Roraima,30202001955,3.50921389,-60.10142778
