FID,id,terrai_nome,etnia_nome,municipio_nome,uf_sigla,superficie_perimetro_ha,fase_ti,modalidade_ti,reestudo_ti,superficie_ti,terrai_codigo,gid,the_geom,undadm_codigo,undadm_nome,undadm_sigla
tis_pontos.fid-8091ffc_197eb0e14a4_38b3,1,Areões,Xavante,Água Boa,MT,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,3902,13,POINT (-51.71110601959815 -13.957759183191065),30202002046,COORDENACAO REGIONAL RIBEIRAO CASCALHEIRA,CR-RC
tis_pontos.fid-8091ffc_197eb0e14a4_38b4,2,Borboleta,Kaingang,"Campos Borges, Espumoso, Salto do Jacuí",RS,0,Em Estudo,Reserva Indígena,,,6801,19,POINT (-53.0674998239554 -28.990382919999764),30202002081,COORDENACAO REGIONAL DE PASSO FUNDO,CR-PFD
tis_pontos.fid-8091ffc_197eb0e14a4_38b5,3,Cacique Doble,"Guaraní, Kaingang","Cacique Doble, São José do Ouro",RS,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,7802,20,POINT (-51.59605261681267 -27.827521021948716),30202002081,COORDENACAO REGIONAL DE PASSO FUNDO,CR-PFD
tis_pontos.fid-8091ffc_197eb0e14a4_38b6,4,Capivara,Mura,Autazes,AM,0,Em Estudo,Tradicionalmente ocupada,,,9001,24,POINT (-59.45171178902298 -3.620568926838882),30202001871,COORDENACAO REGIONAL DE MANAUS,CR-MAO
tis_pontos.fid-8091ffc_197eb0e14a4_38b7,5,Carreteiro,Kaingang,Água Santa,RS,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,9602,27,POINT (-51.97158188239192 -28.211473096794784),30202002081,COORDENACAO REGIONAL DE PASSO FUNDO,CR-PFD
tis_pontos.fid-8091ffc_197eb0e14a4_38b8,6,Coroa Vermelha (Ponta Grande),Pataxó,"Porto Seguro, Santa Cruz Cabrália",BA,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,10302,31,POINT (-39.044661469154676 -16.3103931102481),30202001990,COORDENACAO REGIONAL DO SUL DA BAHIA,CR-SBA
tis_pontos.fid-8091ffc_197eb0e14a4_38b9,7,Enawenê-Nawê,Enawenê-Nawê,"Comodoro, Juína, Sapezal",MT,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,11202,35,POINT (-58.79314970165167 -11.691273609607483),30202002032,COORDENACAO REGIONAL NOROESTE DO MATO GROSSO,CR-NRMT
tis_pontos.fid-8091ffc_197eb0e14a4_38ba,8,Fulni-ô,Fulni-ô,"Itaíba, Águas Belas",PE,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,13102,42,POINT (-37.04011335483239 -9.269808365248496),30202001983,COORDENACAO REGIONAL BAIXO SÃO FRANCISCO,CR-BSF
tis_pontos.fid-8091ffc_197eb0e14a4_38bb,9,Governador,"Gavião Pukobiê, Tenetehara",Amarante do Maranhão,MA,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,13602,44,POINT (-46.779000270403714 -5.462781325716206),30202001997,COORDENACAO REGIONAL MARANHÃO,CR-MA
tis_pontos.fid-8091ffc_197eb0e14a4_38bc,10,Guapenu,Mura,Autazes,AM,0,Em Estudo,Tradicionalmente ocupada,,,13901,46,POINT (-59.1788160631962 -3.529591572202395),30202001871,COORDENACAO REGIONAL DE MANAUS,CR-MAO
tis_pontos.fid-8091ffc_197eb0e14a4_38bd,11,Araponga,Guaraní,Paraty,RJ,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,14002,11,POINT (-44.762324807800084 -23.299959391926244),30202002074,COORDENACAO REGIONAL LITORAL SUDESTE,CR-LIS
tis_pontos.fid-8091ffc_197eb0e14a4_38be,12,Inhacorá,Kaingang,São Valério do Sul,RS,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,17102,55,POINT (-53.94042135965424 -27.86292763185917),30202002081,COORDENACAO REGIONAL DE PASSO FUNDO,CR-PFD
tis_pontos.fid-8091ffc_197eb0e14a4_38bf,13,Jeripancó,Jeripancó,"Pariconha, Água Branca",AL,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,19401,62,POINT (-38.07046710612729 -9.22417244514406),30202001969,COORDENACAO REGIONAL NORDESTE I,CR-NE-I
tis_pontos.fid-8091ffc_197eb0e14a4_38c0,14,Kaingang de Iraí,Kaingang,Iraí,RS,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,20102,65,POINT (-53.19864849989294 -27.23085967654765),30202002081,COORDENACAO REGIONAL DE PASSO FUNDO,CR-PFD
tis_pontos.fid-8091ffc_197eb0e14a4_38c1,15,Karajá Santana do Araguaia,Karajá,Santa Maria das Barreiras,PA,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,21302,69,POINT (-49.89375404946521 -8.936424948628515),30202001962,COORDENACAO REGIONAL ARAGUAIA TOCANTINS,CR- ARGTO
tis_pontos.fid-8091ffc_197eb0e14a4_38c2,16,Karitiana,Karitiana,Porto Velho,RO,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,21802,70,POINT (-63.864972638474136 -9.704017411960255),30202001948,COORDENACAO REGIONAL DE JI PARANA,CR- JPR
tis_pontos.fid-8091ffc_197eb0e14a4_38c3,17,Lalima,"Kinikinau, Terena",Miranda,MS,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,25102,79,POINT (-56.232372914944854 -20.564525227267378),30202002004,COORDENACAO REGIONAL DE CAMPO GRANDE,CR-CGR
tis_pontos.fid-8091ffc_197eb0e14a4_38c4,18,Massiambu,Guaraní Mbya,Palhoça,SC,0,Em Estudo,Tradicionalmente ocupada,,,27801,85,POINT (-48.65613889 -27.82354444),30202002095,COORDENACAO REGIONAL LITORAL SUL,CR-LISUL
tis_pontos.fid-8091ffc_197eb0e14a4_38c5,19,Mata Medonha,Pataxó,Santa Cruz Cabrália,BA,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,28002,86,POINT (-39.0881677993953 -16.10240370954769),30202001990,COORDENACAO REGIONAL DO SUL DA BAHIA,CR-SBA
